year,Nanyang Technological University,National University of Singapore,Singapore Institute of Technology,Singapore Management University,Singapore University of Social Sciences,Singapore University of Technology and Design
2013,3100.0,3050.0,,3319.5,,
2014,3100.0,3240.0,3050.0,3545.0,,
2015,3205.0,3350.0,3141.0,3530.0,,3600.0
2016,3300.0,3410.0,3237.5,3630.0,,3650.0
2017,3395.0,3450.0,3200.0,3850.0,,3850.0
2018,3500.0,3500.0,3346.5,3850.0,3000.0,3900.0
2019,3500.0,3692.0,3500.0,3969.0,3000.0,4000.0
2020,3678.0,3890.0,3500.0,3925.0,3000.0,3900.0
2021,3650.0,3850.0,3600.0,4457.5,3287.5,4350.0
2022,4023.0,4300.0,3980.0,4500.0,3600.0,4350.0
